Sigle	Belegtext	Animacy_finegrained	Lemma	PoS	Ort	Jahr	upperCase	Sprachraum.ost.west	Gender	Kompositum	Period	Animacy3	Animacy	Freq	Rolle {L.S.}	Moralische Bewertung	Prestige_Lemma
S394_Z143	Amman	menschlich	ammann	NB	Riedlingen	1596	WAHR	0	male	0	1	animate	4	3	Geschädigter	positiv	WAHR
S393_Z100	Ammanß	menschlich	ammann	NB	Riedlingen	1596	WAHR	0	male	0	1	animate	4	3	Geschädigter	positiv	WAHR
S393_Z105	Ammanß	menschlich	ammann	NB	Riedlingen	1596	WAHR	0	male	0	1	animate	4	3	Geschädigter	positiv	WAHR
S221_Z55	Ammen	menschlich	amme	NN	Gaugrehweiler	1610	WAHR	0	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S221_Z58	Ammen	menschlich	amme	NN	Gaugrehweiler	1610	WAHR	0	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S221_Z64	Ammen	menschlich	amme	NN	Gaugrehweiler	1610	WAHR	0	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S221_Z66	Ammen	menschlich	amme	NN	Gaugrehweiler	1610	WAHR	0	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S250_Z6	Ambtman	menschlich	amtmann	NB	Lemberg	1630	WAHR	0	male	1	3	animate	4	1	Justiz&Helfer	positiv	WAHR
S323_Z329	Ambtschreiber	menschlich	amtschreiber	NB	Rosenburg	1618	WAHR	1	male	1	2	animate	4	1	nicht entschieden	neutral	WAHR
S293_Z105	Amptsknechts	menschlich	amtsknecht	NB	Georgenthal	1597	WAHR	1	male	1	1	animate	4	1	Justiz&Helfer	positiv	FALSCH
S293_Z90	Bade Magdt	menschlich	bademagd	NB	Georgenthal	1597	WAHR	1	fem	0	1	animate	3	1	Geschädigte	positiv	FALSCH
S418_Z218	Beürin	menschlich	bauer	NB	Bamberg	1628	WAHR	1	fem	0	3	animate	4	9	Denunzierte	negativ	FALSCH
S418_T223LN	Beürin	menschlich	bauer	NB	Bamberg	1628	WAHR	1	fem	0	3	animate	4	9	Denunzierte	negativ	FALSCH
S227_Z45	bauwren	menschlich	bauer	NB	Hamm	1592	FALSCH	0	male	0	1	animate	4	9	nicht entschieden	neutral	FALSCH
S468_Z256	Paur	menschlich	bauer	NB	München	1600	WAHR	1	male	0	1	animate	4	9	nicht entschieden	neutral	FALSCH
S479_Z320	Paur	menschlich	bauer	NB	München	1600	WAHR	1	male	0	1	animate	4	9	Geschädigter	positiv	FALSCH
S470_Z328	Paur	menschlich	bauer	NB	München	1600	WAHR	1	male	0	1	animate	4	9	Geschädigter	positiv	FALSCH
S466_Z169	Paurn	menschlich	bauer	NB	München	1600	WAHR	1	male	0	1	animate	4	9	nicht entschieden	neutral	FALSCH
S470_Z319	Paurn	menschlich	bauer	NB	München	1600	WAHR	1	male	0	1	animate	4	9	Geschädigter	positiv	FALSCH
S318_Z33	Bawern	menschlich	bauer	NB	Rosenburg	1618	WAHR	1	male	0	2	animate	4	9	Geschädigter	positiv	FALSCH
S313_Z151	Pauerknecht	menschlich	bauerknecht	NB	Ostrau	1628	WAHR	1	male	1	3	animate	4	1	nicht entschieden	neutral	FALSCH
S318_Z18	beAmbten	menschlich	beamte	NB	Rosenburg	1618	FALSCH	1	male	0	2	animate	4	1	Justiz&Helfer	positiv	WAHR
S220_Z19	bettell frau	menschlich	bettelfrau	NN	Gaugrehweiler	1610	FALSCH	0	fem	1	2	animate	3	1	Denunzierte	negativ	FALSCH
S505_Z226	betteljungen	menschlich	betteljunge	NN	Schweinfurt	1616	FALSCH	1	male	1	2	animate	4	1	Denunzierter	negativ	FALSCH
S467_Z199	Petler	menschlich	bettler	NB	München	1600	WAHR	1	male	0	1	animate	4	2	nicht entschieden	neutral	FALSCH
S169_Z125	bettler	menschlich	bettler	NN	Perleberg	1588	FALSCH	1	male	0	1	animate	4	2	Denunzierter	negativ	FALSCH
S81_Z96	brudt	menschlich	braut	NN	Meldorf	1618	FALSCH	0	fem	0	2	animate	3	1	Geschädigte	positiv	FALSCH
S59_Z26	Brodernn	menschlich	bruder	NN	Jever	1592	WAHR	0	male	0	1	animate	4	4	nicht entschieden	neutral	FALSCH
S61_Z85	Bruder	menschlich	bruder	NN	Jever	1592	WAHR	0	male	0	1	animate	4	4	nicht entschieden	neutral	FALSCH
S59_Z18	Bruders	menschlich	bruder	NN	Jever	1592	WAHR	0	male	0	1	animate	4	4	nicht entschieden	neutral	FALSCH
S179_Z232	Brueder	menschlich	bruder	NN	Stralsund	1630	WAHR	1	male	0	3	animate	4	4	nicht entschieden	neutral	FALSCH
S468_Z236	Pueb	menschlich	bub	NN	München	1600	WAHR	1	male	0	1	animate	4	2	nicht entschieden	neutral	FALSCH
S470_Z330	Pueb	menschlich	bub	NN	München	1600	WAHR	1	male	0	1	animate	4	2	nicht entschieden	neutral	FALSCH
S465_Z131	Pueben	menschlich	bube	NN	München	1600	WAHR	1	male	0	1	animate	4	3	nicht entschieden	neutral	FALSCH
S469_Z289	Pueben	menschlich	bube	NN	München	1600	WAHR	1	male	0	1	animate	4	3	Denunzierter	negativ	FALSCH
S470_Z332	Pueben	menschlich	bube	NN	München	1600	WAHR	1	male	0	1	animate	4	3	Denunzierter	negativ	FALSCH
S413_Z4	Burgermeister	menschlich	burgermeister	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	5	Angeklagter	negativ	WAHR
S417_Z196LN	Burgermeister	menschlich	burgermeister	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	5	Denunzierter	negativ	WAHR
S417_Z197	Burgermeister	menschlich	burgermeister	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	5	Denunzierter	negativ	WAHR
S159_Z107	Burgermeister	menschlich	burgermeister	NB	Güstrow	1615	WAHR	1	male	0	2	animate	4	5	nicht entschieden	neutral	WAHR
S160_Z120	Burgermeister	menschlich	burgermeister	NB	Güstrow	1615	WAHR	1	male	0	2	animate	4	5	nicht entschieden	neutral	WAHR
S159_Z99	burgk- mans	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S159_Z102	burgk- mans	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S158_Z63	burgkman	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S158_Z68	burgkman	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S158_Z72	burgkman	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S159_Z77	burgkman	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S159_Z81	burgkman	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
S159_Z105	burgkman	menschlich	burgmann	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	10	Geschädigter	positiv	WAHR
